title,description
Tolak Angin Cair - Dus Isi 12 Sachet,"Penjelasan Singkat - Terbuat dari bahan-bahan herbal indonesia yang berkhasiat - Sudah terbukti dapat membantu mengobati gejala masuk angin - Dapat membantu meningkatkan daya tahan tubuh - Dapat digunakan untuk mabuk perjalanan Tolak Angin adalah obat alami untuk masuk angin yang pertama kali diresepkan tahun 1930 oleh pendiri PT. SIDO MUNCUL Ibu Rahmat Sulistyo dan mulai diproduksi skala pabrik tahun 1951. Tolak Angin dibuat dari tumbuh-tumbuhan berkhasiat yang dibudidayakan dengan kontrol kualitas yang ketat, diproses dengan cara produksi yang baik dan benar serta melewati tahapan pengujian ilmiah. Tolak Anginadalah produk yang terstandarisasi. Khasiat : Tolak angin baik untuk masuk angin dengan gejala kembung, mual, sakit perut, pusing, meriang, dan tenggorokan kering. Bisa diminum saat perjalanan jauh, kecapaian dan kurang tidur. Cara Pakai : Kocok dahulu sebelum diminum Komposisi : 5.67 g Ekstrak bahan antara lain : Foeniculi Fructus (Adas) 10 %, Isore Fructus (Kayu Ules) 10%, Caryophylli Folium (Daun Cengkeh) 10 %, Zingiberis Rhizoma (Jahe) 10%, Menthae arvensitis Herba (Daun Mint) 10%, Mel depuratum (Madu) dan bahan-bahan lain hingga 18.9 g Kemasan : Dus isi 12 sachet @ 15 ml Produksi : PT. Industri Jamu & Farmasi BPOM No : HT 122 600 301"
Cetirizine 10 mg 10 Tablet,"Cetirizine HCI pada dosis aktif secara farmakologi merupakan antihistamin potensial yang tidak terlalu menyebabkan kantuk (potensi kantuk rendah) dengan sifat tambahan anti aiergi. Cetirizine HCI merupakan selektif Hi-antagonis dengan efek yang rendah terhadap reseptor lain dan juga benar-benar bebas dari efek antikolinergik dan antiserotonin. Cetirizine HCI menghambat ""early phase histamine-mediated"" pada reaksi aiergi dan juga mengurangi migrasi sel yang menginflamasi dan pelepasan mediator yang berhubungan dengan ‘late alergic response‘. Cara Pakai : • Dewasa dan anak usia di atas 12 tehun : 1 tablet 10 mg, 1 kali sehari. • Belum ada data klinis yang cukup untuk mendukung penggunaan pada anak usia dibawah 12 tahun dan penderita usia lanjut. • Penggunaan pada penderita gangguan fungsi ginjal: dosis sebaiknya dikurangi menjadi ½ tablet sehari. Khasiat : Pengobatan rhinitis menahun (perennial allergic rhinitis), aiergi rhinitis musiman (seasonal allergic rhinitis) dan idiopatik urtikaria kronik (chronic idiopatic urticaria). Kontra indikasi : • Penderita dengan riwayat hipersensitif terhadap kandungan dalam obat. • Wanita menyusui, karena kandungan aktif Cetirizine HCI dieksresi pada air susu ibu. Perhatian : - Penelitian terhadap sukarelawan yang sehat pada 20 dan 25 mg/hari tidak menur^ukkan pengaruh pada kewaspadaan atau waktu reaksi, akan tetapi penderita disarankan tidak menggunakan melebihi dosis yang dianjurkanjika mengendarai kendaraan atau mengoperasikan mesin. - Penggunaan pada kehamilan : pada penelitian terhadap binatang hamil tidak ada reaksi samping yang dilaporkan. Pada keadaan hamil, Cetirizine HCI hanya sedikit atau tidak digunakan sama sekali. Seperti obat lainnya penggunaan Cetirizine HCI pada keadaan hamil hams dicegah. Interaksi Obat : Sampai saat ini belum diketahui interaksi dengan obat lainnya. Penelitian dengan diazepam dan dmetidin menunjukten k^diai interaksi obat. Sama seperti arrtihistamin lain, disarankan untuk menghindari konsumsi alkohot yang beriebihan. Efek Samping : Kadang-kadang dilaporkan efek samping seperti sakit kepaia, pusing, mengantuk, agitasi, mulut kering dan rasa tidak enak pada pencemaan. Jika perlu dosis dapat diminum 5 mg pada p§pi hari dan Sjng pada sore hari. Pada beberapa individu, reaksi hipersensitivitas termasulTreaksi kulit dan angioedema dapat terjadi. Komposisi : Tiap tablet salut selaput mengandung Cetirizine HCI..........................................................….10 mg Kemasan : Strip Isi 10 Tablet Diproduksi Oleh : Sampharindo Perdana BPOM No : GTL1923415517A1"
Tolak Linu Herbal - Dus Isi 5 Sachet,"Tolak Linu Herbal terbuat dari ekstrak ""Cabe Puyang"" yang secara empiris telah digunakan oleh sebagian masyarakat indonesia sebagai minuman tradisional untuk membantu meredakan pegal linu dan nyeri sendi.Tolak Linu Mint Herbal cocok untuk olahragawan, pekerja berat, lansia dan yang memiliki aktivitas tinggi. Khasiat : Secara tradisional digunakan untuk membantu meredakan pegal linu dan nyeri sendi. Komposisi : Tiap sachet mengandung 1.6 gr ekstrak bahan yang terdiri dari: Zingiber aromatica rhizoma 30% Piper retrofractum fructus 15% Imperata cylindrica rhizoma 8% Languas galanga rhizoma 5% Curcuma xanthorriza rhizoma 5% Zingiber officinale rhizoma 5% Kaempferia galangan rhizoma 5% Alyxia reinwardtii cortex, Foeniculu, vulgare, Cyperus rotundus rhizoma, Phyllanthus niruri herba, Blumea balsamifera folium, Myristica fragrans semen. Ekstrak panax ginseng Radix 0.03 gr Madu dan bahan-bahan lain hingga 15 ml Cara Pakai : Minum 1-2 sachet setelah beraktivitas atau sebelum tidur, dapat diminum langsung dari sachet atau dicampur dengan 50 ml air. Kocok dahulu sebelum diminum. Peringatan dan Perhatian : Hati-hati jika digunakan pada penderita hipertensi dan diabetes Hindari penggunaan pada wanita hamil dan menyusui Penyimpanan : Simpan di tempat kering, terhindar dari sinar matahari langsung dibawah suhu 30 derajat C. Kemasan : Dus isi 5 sachet @ 15 ml Produksi : PT. Industri Jamu & Farmasi BPOM No : TR 112624961"
Paratusin Tablet,"New Product Launching ""Mandjur Thermosense Digital Thermometer"" alat pengukuran suhu tubuh dengan tingkat akurasi tinggi dan cepat. Waktu pengukuran < 1 menit. Bebas merkuri, anti air, dan dilengkapi box transparan untuk penyimpanan. Dapatkan segera dengan Harga Spesial Rp 19,500 Link Produk: https://www.mandjur.co.id/products/mandjur-thermosense-digital-thermometer Paratusin Tablet merupakan obat untuk meringankan gejala-gejala flu, seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk. Obat ini juga bisa digunakan untuk mengurangi rasa sakit ringan hingga sedang, seperti sakit kepala dan nyeri otot. Khasiat : Untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk. Cara Pakai : Dewasa : 1 Tablet, 3 x sehari. Anak-Anak 6-12 Tahun : 1/2 tablet, 3 x sehari Kemasan : 1 Strip Isi 10 Tablet Diproduksi Oleh : PT Darya Varia Laboratoria Tbk BPOM No : DTL160452501A1"
Mycorine Cream 15 Gr,"Mycorine cream adalah obat yang digunakan untuk mengobati penyakit kulit akibat infeksi jamur. Mycorine cream mengandung zat aktif miconazole yang termasuk obat anti jamur golongan imidazole. Miconazole umumnya digunakan untuk mengobati berbagai infeksi jamur pada kulit seperti (panu, kurap, dan kaki atlet), dan infeksi jamur pada mulut dan vagina. Selain itu, juga bisa digunakan sebagai obat sariawan pada bayi. Obat ini termasuk golongan imidazole yang bekerja dengan cara mengubah permeabilitas dinding sel jamur. Khasiat dan Kegunaan : Membantu mengobati berbagai infeksi jamur pada kulit Membantu mengurangi peradangan seperti rasa gatal, ruam, dan kemerahan pada kulit Efektif untuk panu, kurap, dan kutu air, dan infeksi jamur pada mulut dan vagina. Referensi : Keterangan Kemasan INFORMASI PADA KEMASAN : BPOM No : DTL9127800729A1 Cara Pakai : Oleskan pada kulit yang terinfeksi 2 kali sehari (pagi dan sore) untuk Tinea Korporis, Tinea Pedis, Tinea Kruris. Satu kali sehari untuk Tinea versikolor. Biasanya pengobatan berlangsung selama 2 - 4 minggu Jika pengobatan berlangsung selama satu bulan dan belum ada kemajuan kllnis maka sebaiknya dilakukan pemeriksaan ulang. Khasiat : Tinea Korporis Tinea Pedis Tinea Kruris Tinea Versikolor Kontra indikasi : Hipersensitivitas terhadap Miconazole. Perhatian : Bila terjadi reaksi sensitisasi atau iritasi kimia, hentikan pemakaian. Hindari kontak dengan mata. Efek Samping : Biasanya ringan, berupa iritasi lokal, maserasi atau perasaan terbakar. Komposisi : Mycorine mengandung Miconazole Nitrat 2 % Cara Penyimpanan : Simpan ditempat sejuk dan kering Kemasan : Tube netto 15 gram Diproduksi Oleh : PT Galenium Pharmasia Laboratories Produksi : Indonesia Disclaimer : Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebagainya."
Glucosamine 250 Mg 10 Tablet,"Glucosamine Tablet merupakan suplemen kesehatan yang digunakan untuk membantu memelihara kesehatan persendian. Suplemen ini juga dapat membantu mengurangi terjadinya keluhan nyeri pada persendian dan mencegah terjadinya kerusakan sendi (osteoarthritis). Terakhir diperbaharui: 17 Januari 2023 Ditinjau Oleh : Rirry Elvira, S.S Referensi : Keterangan Kemasan INFORMASI PADA KEMASAN : BPOM No : SD 061528691 Cara Pakai : Berat badan di atas 55 kg : sehari 3 kali 2 tablet salut selaput Berat badan di bawah 55 kg : sehari 3 kali 1 tablet salut selaput Khasiat : Suplemen untuk membantu memelihara kesehatan persendian Perhatian : Penderita diabetes yang mengkonsumsi Glucosamine harus berkonsultasi dengan dokter dan memonitor kondisi mereka. Hindari meminum Glucosamine pada orang yang alergi dengan ikan (kerang-kerangan), karena data yang masih kurang, wanita hamil dan menyusui hindari meminum Glukosamine Komposisi : Tiap tablet salut selaput mengandung Glucosamine HCI (dari Chitin shellfish) 301 mg setara dengan Glucosamine 250 mg Cara Penyimpanan : Simpan ditempat sejuk dan terhindar dari sinar matahari langsung Kemasan : Strip @ 10 Tablet Salut Selaput Diproduksi Oleh : PT Hexpharm Jaya Produksi : Indonesia Disclaimer : Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebaginya Expired : Expired Min > 3 Bulan"
Antimo Tablet,"Antimo Tablet mengandung Dimenhydrinate yang digunakan sebagai obat untuk mencegah dan mengurangi gejala mabuk perjalanan seperti pusing, mual, dan muntah. Antimo sangat cocok bagi anda yang mengalami mabuk perjalanan menggunakan kendaraan bermotor, kapal, kereta api dan pesawat udara. Referensi : Keterangan Kemasan INFORMASI PADA KEMASAN : BPOM No : Reg. No. DTL 7219929710A1 Cara Pakai : Dewasa dan anak diatas 12 tahun : 1 tablet (50 mg), sehari tidak lebih dari 8 tablet (400 mg) Anak berumur 8 - 12 tahun :1/2 tablet (25 mg), sehari tidak lebih dari 3 tablet (150 mg) Diminum 1/2 jam sebelum berpergian, jika perlu dapat diulang tiap 4 jam Khasiat : Mabuk, muntah dalam perjalanan yang diderita jika mempergunakan kendaraan bermotor, kapal, kereta api atau pesawat udara. Kontra indikasi : Penderita gangguan hati, hipokalamia, hipersensitif terhadap antuhistamin, retansi urin dan glaukoma. Perhatian : Tidak boleh digunakan pada bayi prematur dan bayi baru lahir Efek antiemetiknya dapat mengganggu diagnosis pada keadaan appendicities dan dapat menutupi tanda-tanda toksik akibat over dosis obat lain Hindari makanan dan minuman beralkohol Selama minum obat ini tidak boleh mengendarai kendaraan bermotor atau menjalankan mesin Interaksi Obat : Meningkatkan efek sedatif dari depresan SSP seperti alkohol, barbiturat, hipnotik, analgesik, oploid, sedatif anxiolitik dan anti psikotik. Meningkatkan aksi anti muskarinik jika diberikan bersamaan antimuskarinik seperti atropin dan anti depresan lain (termasuk trisiklik dan MAO inhibitor) Dapat menutupi tanda-tanda kerusakan yang disebabkan oleh obat-obat ototoksik seperti antibiotika aminoglikosida Efek Samping : Depresi SSP seperti mengantuk, lesu, pusing dan gangguan koordinasi (terutama pada anak-anak) Sakit kepala, gangguan psikomotor, efek antimuskarinik seperti mulut kering, pandangan kabur, retensi urin, konstipasi dan peningkatan refluks lambung Gangguan saluran pencernaan seperti mual, muntah, diare dan nyeri epigastrik Cardiac arythmia atau palpitasi Komposisi : Tiap tablet berisi : Dimenhydrinate 50 mg Cara Penyimpanan : Simpan ditempat sejuk dan kering, terlindung dari cahaya matahari Kemasan : 1 Strip @ 10 tablet Diproduksi Oleh : PT. Phapros Tbk Produksi : Indonesia Brand : Antimo Disclaimer : Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebaginya"
Inza 4 Kaplet,"Inza merupakan obat yang mengandung Paracetamol dan Pseudoephedrine HCI yang digunakan untuk membantu meringankan gejala flu seperti demam, pusing, sakit kepala, bersin-bersin dan hidung tersumbat. Bekerja sebagai analgesik-antipiretik , antihistamin dan dekongestan hidung. Indikasi : Untuk meringankan gejala flu seperti demam, sakit kepala, bersin-bersin dan hidung tersumbat Komposisi : Tiap kaplet mengandung Paracetamol 600 mg Pseudoephedrine HCI 30 mg Chlorphenamine maleate 1 mg Aturan Pakai : Anak - anak 6-12 tahun : 3 kali sehari 1/2 kaplet Dewasa : 3 kali sehari 1 kaplet Kontraindikasi : Penderita yang hipersensitif terhadap komponen obat ini Penderita yang mengalami gangguan fungsi hati yang berat Efek Samping : Mengantuk, gangguan pencernaan, insomnia, gelisah, tremor, mulut kering dan sulit berkemih. Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati Peringatan dan Perhatian : Hati-hati pengunaan pada penderita dengan gangguan fungsi hati dan ginjal, glaukoma, gangguan jantung dan diabetes melitus Tidak dianjurkan pada anak dibawah usia 6 tahun, ibu hamil dan menyusui Selama menggunakan obat ini tidak boleh berkendara atau menjalankan mesin Penyimpanan ; Simpan dibawah suhu 30oC terhindar dari sinar matahari langsung dan jauhkan dari jangkauan anak-anak Kemasan : Strip 4 kaplet Produksi Oleh : PT. KONIMEX BPOM No : DTL 9213007604A1"
OB Combi Antitussive Batuk Kering 60 mL,"OB Combi Antitussive Batuk Kering merupakan sirup obat batuk hitam dengan rasa menthol yang dapat membantu meringankan batuk tidak berdahak yang disertai gatal atau alergi. OB Combi Antitussive Batuk Kering diformulasikan dengan kombinasi kandungan obat yang bekerja sebagai antitusif dan antihistamin, dimana Dextromethorpan HBr bekerja sebagai antitusif dengan cara mengontrol pusat batuk sehingga mengurangi rangsangan batuk, sedangkan Diphenhydramine HCl berperan sebagai antihistamin yang membantu meredakan alergi. Manfaat dan Kegunaan OB Combi Antitussive Batuk Kering : Membantu meringankan batuk tidak berdahak yang disertai alergi Dengan rasa menthol yang dapat melegakan saluran pernapasan Komposisi : Tiap 5 mL sirup mengandung : Dextromethorplan Hbr 12,5 mg Diphenhydramine HCl 7,5 mg Kemasan : Isi botol @ 60 mL Diproduksi Oleh : PT. Combiphar BPOM No : DTL 1904134737A1"
Tuzalos 4 Kaplet,"Tuzalos merupakan obat pereda flu yang berfungsi unutk meredakan gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk. Cara Kerja Obat : Bekerja sebagai analgetik-antipiretik, dekongestan hidung, antihistamin, ekspektoran dan antitusif. Khasiat : Meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk. Cara Pakai Anak-anak 6-12 tahun : 1 kaplet, 3 kali sehari Diatas 12 tahun & Dewasa : 1 kaplet, 3 kali sehari Kontra indikasi : Tidak boleh melebihi dari dosisi yang telah dianjurkan Tidak boleh diberikan kepada yang memiliki hipersensitivitas pada kandungan obat ini Hati-hati pengunaan pada penderita tekanan darah tinggi Hentikan pemakaian obat ini jika terjadi susah tidur, jantung berdebar, dan pusing Perhatian : Dapat menyebabkan kantuk. Dianjurkan jangan mengendarai kendaraan bermotor atau menjalankan mesin selama minum obat ini. Kemasan : 1 Strip @ 4 Kaplet Diproduksi Oleh : PT Sanbe Farma BPOM No : DTL 9222212604A1"
