Feature,Importance
lbp_9,0.1071698238558146
orig_std_in_thresh,0.078138900866517
edge_density,0.06146855345538591
lbp_8,0.06138677852036866
lbp_7,0.06053066026761502
lbp_1,0.05944355380417764
num_components,0.047773656803063114
num_contours,0.03623696075944472
hu_7,0.03305876143186486
orig_mean_in_thresh,0.029394215163202793
lbp_3,0.028347967014518863
edge_pixels,0.028078588801742823
mean_area,0.027598786098410013
hu_2,0.02711731109043154
orig_median_in_thresh,0.026928947232525903
std_area,0.02502730772248978
lbp_5,0.023877068998843898
contour_perimeter,0.022401212973702185
hu_4,0.021266168363363404
max_area,0.021041243487178132
hu_6,0.018708649333273143
contour_area,0.018601835171643127
hu_1,0.018304795176594526
lbp_0,0.01653146956456226
foreground_ratio,0.01622035053412553
var_intensity,0.01599686226405158
area_perimeter_ratio,0.014359906573549906
mean_intensity,0.014041553313734583
hu_3,0.013769980532114616
std_intensity,0.012288356166088931
hu_5,0.012074740025092807
median_intensity,0.0019941411916855906
lbp_2,0.0008208934428225638
min_intensity,0.0
lbp_6,0.0
max_intensity,0.0
lbp_4,0.0
