input Awal,Generasi,Hasil,Kesalahan,Fitness
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",2,"M-BtwA)#Xt?TITbr)#Lg 9unu,Y",25,0
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",3,"M-BtwA)#Xt?TITbr)#Lg 9unu,Y",25,0
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",4,3 rRbtSko #X{ $x=AvnvBbIyfT,23,2
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",5,3 rRbtSko #X{ $x=AvnvBbIyfT,23,2
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",6,"S-BLlvuV wYih,_;:9hn""BintC:",22,3
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",7,S-!tlvuW w?iou_;.#1n Bintr:,21,4
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",8,"Y?jR,kuko 3eI$_r:A.ng uMtrT",20,5
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",9,faymRkukI XcoT;xd=1nDBi5tr:,19,6
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",10,S?jF$oukt becA=;d/4JgBurtrN,18,7
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",11,S?jF$oukt becA=;d/4JgBurtrN,18,7
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",12,"=a $b""uCs #ecN_;a/0n Bu]qg:",17,8
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",13,"=a $b""uCs #ecN_;a/0n Bu]qg:",17,8
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",14,"S2y$/uuk"" b,c,=;aNangBuYtg:",15,10
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",15,"S2y$/uuk"" b,c,=;aNangBuYtg:",15,10
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",16,"S2y$/uuk"" b,c,=;aNangBuYtg:",15,10
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",17,"S2y$/uuk"" b,c,=;aNangBuYtg:",15,10
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",18,"SayNP;uk"" ji))o$a""an Buot[}",14,11
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",19,"S?y$4huk: Zec,=NaSan Buktg:",13,12
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",20,"Saye/Ouk"" Zec)2ea7an Buotr,",12,13
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",21,"Saye/Ouk"" Zec)2ea7an Buotr,",12,13
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",22,"Saye/Ouk"" Zec)2ea7an Buotr,",12,13
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",23,"Saye/Ouk"" Zec)2ea7an Buotr,",12,13
"9%aHV#@K uMAiUN=x.$?G 2y8W6Fqco/CE-!f{Ld)Y7RjO,ItBs15XwJ}TS:nlD0vzh(Pepb_Z3gkm;Qr""[]&4",24,"Saye/Ouk"" Zec)2ea7an Buotr,",12,13
