user,review,rating
prabandaru koesworo,"Ini aplikasi jangan pake gopaynya, gopaynya makan banyak biaya admin, dompek digital lain (dana 0 admint), bukan promosi, tapi efisiensi, dengan pengalaman yang jauh lebih simple dan sederhana, sering ngebug gopay, makanya goto ambles Aplikasi dalam negeri harusnya bisa lebih simple, sudah sempat mau pesan tapi kena kendala tombol menunya yang gak jelas",1
Jerry h,"Kalau ketentuan untuk semua Gocar, bisa diterapkan kyk peraturan Bluebird,kurang lebih atau bahkan bisa jauh lebih bagus, Mulai dari Driver nya Diseleksi Lebih baik, Dari Ketentuan dan Keamanan Kaca Kendaraan lebih baik, tidak boleh Gelap, Kebersihan Dan keterawatan kendaraan dan sebagainya, Sampai saat ini setiap kali pakai gocar masih kadang dapet yang gak worth it dengan harga,amannya dan nyamannya. Kalau bisa di setiap perjalanan pakai gocar bisa selalu nyaman, aman & Hemat+Driver tau jalan",2
Desy Adela,"Pesan gosend sampai 2 jam Pertama, pesan sudah dapat driver tapi gak gerak-gerak, dihubungi juga susah Kedua, sampai mencoba ganti driver lagi, ternyata sama gak gerak dan susah dihubungi Ketiga, sampai dibatalkan beberapa kali gara-gara gak gerak dan susah dihubungi drivernya padahal jaraknya ada yang hanya 1 menit dari posisi si driver ke lokasi Ke empat, giliran udah dapat, tetap aja lama sampai ke lokasinya padahal di aplikasi hanya kurang dari 10 menit Total 2 jam bisa sampai selesai",1
Dewita Nur Wulandari,"pesan makan udh sejam tp gaada driver yang mau ambil, padahal metode pembayaran udah reguler loh. tindak lanjuti lah masalah driver yang suka skip orderan itu. menyebalkan sekali buang buang waktu banget. semuanya lelet dan menyebalkan. masalahnya ini gak sekali dua kali aja terjadi, sesering itu. saya pesan makan di jam 7, baru sampe ke rumah di jam 10an.",1
Ridwan Mono,"Benar2 membantu. Cuma kadang2 apk-nya suka error, padahal pencarian buat memesan sudah di batalkan tapi kadang2 ada driver yang menerima pesanannya dan harus di batalkan pesenannya. Saya nggak enak sama drivernya, udah jauh2 mau jemput malahan di batalkan.",5
Lin Wijaya,"Noted: Sudah ditanggap cepat sama pihak gojek. Terimakasih.. Bintang sudah saya perbaiki.. ((Setelah upgrade ke jago, saldo hilang entah kemana padahal belum dipake buat transaksi apapun. Dan gak ada pemberitahuan ni uang dipindah kemana. Komplain di email sama CS nya juga gak ada tanggapan. Gimana maksudnya coba?))",5
fatma dewi,"Untuk pemesanan gofood waktunya tambah lama ditambah pesanan yang katanya telat, jadi nunggu 1 jam-an. Untuk pesanan kali ini tiba2 resto chat buat ambil pesanan karena sudah siap (sudah dapat driver tiba-tiba cancel) Buat apa pesan gofood dengan pilihan pesan antar kalau harus pick up sendiri😮‍💨Dan sering juga pesan gofood toko sudah tutup, tiidak ada info. Jadi butuh waktu lagi. Atau sering juga, menu habis tidak ada info juga.",5
Refika Syallomitha Anggraeni,"Kecewa berkali2 sama gojek, pesen makan ga dapet dapet driver padahal tempat saya dan makanannya strategis dan tetap berkali kali ngga dapet driver padahal sudah coba pakai mode reguler dan mode cepat tapi tetap ga ada hasil. Tolong di tingkatkan lagi lah",1
Hifdzul Taufiq,Aslinya saya puas tapi kadang² waktu penjemputan nya lama banget banyak yang jauh² terus kalo penumpang lupa/barangnya ketinggalan driver di hubungi nggk bisa sama sekali malah susah di hubungi tolong lah lebih tertata lagi dan tolong lebih di pilih² lagi kalau mau nerima drivernya kalo bisa di bina dari gojek dll nya jangan bikin kecewa semua orang.,2
Achie Dado,"Aplikasi sangat membantu, tapi tolonglah ITnya perbaiki jarak jemput Jangan terlalu JAUH!!!!! Kasian PELANGGAN nunggu LAMA, dan kasian DRIVER juga Boros BBM, Tadak sesuai PENDAPATAN, dan sering kena CANCEL. AYU donk diperbaiki, jangan cuma mikirin UNTUNG doank, MAKSIMALKAN semuanya. Agar saling MENGUNTUNGkan. Terimakasih.",5
Ilham Mahesa,"dalam aplikasi masih terdapat error juga kecepatannya kurang terkadang ada bag visual juga, terutama saat saya akan order saat menggunakan voucher dan kemudian top up, saldo masuk tapi voucher error yang mengakibatkan harganya semakin naik dan oke saya ulangi lagi dan masih sama voucher hilang dan semakin mahal. tolong bisa diperbaiki kualitas aplikasi dan pelayanan nya.",1
Hesti Vironika,"Banyak banget jenis pengiriman, kalau gak pilih yang express kadang batal pesanannya. Padahal udah nunggu 1 jam, gak semua konsumen mau pakai yang express tapi kalau gak pakai yang express kadang pesanan dibatalkan secara sepihak atau sampainya lama banget.",1
rexq dio,"aplikasi mengalami bug, saat dibuka tidak bisa di scroll, tidak bisa di klik. dan lagi saat ingin scroll restoran, pasti hanya loading saat terakhir dan saat ingin scroll ulang itu tidak bisa dan hanya bisa di klik. saya menggunakan wifi jadi jangan alasan jaringan saya yang eror, HP saya Xiaomi 13T jadi tidak ada alasan pada device saya. perbaiki aplikasi ini",2
Syarif Ihzmail,"Kenapa saya turunin bintangnya, karena beberapa kali naik gocar akhir-akhir ini, hampir tiap drivernya menumpahkan keluhan menjadi mitra gojek krn pendapatan mereka menjadi lebih kecil dari sebelumnya, sehingga menurunkan pelayanan kepada saya khususnya. Apalagi terlalu lama mendapatkan driver krn mereka memilih-milih utk mengantarkan pelanggannya dengan berbagai alasan menyarankan saya utk mencari driver lain. Saya masih berikan bintang 3 krn masih bisa diandalkan utk transaksi naik kereta.",3
amygos,"Sy pernah pesan gocar, trus driver minta dicancel krn katanya macet di jalan. Stlh dicancel, ternyata proses tetap berlangsung. Sy tdk dijemput, tetapi driver tetap menyelesaikan trip. Saldo sy kepotong hampir 200.000 !!! Benar2 mengecewakan sistem keamanan aplikasi gojek !!! Stlh kejadian itu, langsung auto un-install aplikasi yg tidak aman spt ini !!!",1
Andy Putra,"Saya pesan makanan dengan estimasi yang terlambat sangat lama, mana nggk bisa di cancel, seharusnya ada opsi untuk pembeli go food kalau waktu jauh melebihi estimasi bisa di cancel, atau setidaknya ada room chat buat pembeli dan pihak resto buat berpesan, terlambat hampir 1 jam itu apa maksudnya ??? Kalo memang resto atau driver nggak bisa on time langsung beri info biar saya tidak menunggu lama !!!! Kalo memang tidak bisa setidaknya ngomong !!! Biar saya punya opsi cari di tempat lain !!!",1
