user,review,rating,review_tokenized,no_stopword,stemmed_review,lemmatized_review
prabandaru koesworo,"ini aplikasi jangan pake gopaynya, gopaynya makan banyak biaya admin, dompek digital lain (dana 0 admint), bukan promosi, tapi efisiensi, dengan pengalaman yang jauh lebih simple dan sederhana, sering ngebug gopay, makanya goto ambles aplikasi dalam negeri harusnya bisa lebih simple, sudah sempat mau pesan tapi kena kendala tombol menunya yang gak jelas",1,"ini aplikasi jangan pake gopaynya, gopaynya makan banyak biaya admin, dompek digital lain (dana 0 admint), bukan promosi, tapi efisiensi, dengan pengalaman yang jauh lebih simple dan sederhana, sering ngebug gopay, makanya goto ambles aplikasi dalam negeri harusnya bisa lebih simple, sudah sempat mau pesan tapi kena kendala tombol menunya yang gak jelas","aplikasi jangan pake gopaynya, gopaynya makan banyak biaya admin, dompek digital (dana 0 admint), bukan promosi, efisiensi, pengalaman jauh lebih simple sederhana, sering ngebug gopay, makanya goto ambles aplikasi negeri harusnya lebih simple, sempat mau pesan kena kendala tombol menunya gak jelas",ini aplikasi jangan pake gopaynya gopaynya makan banyak biaya admin dompek digital lain dana 0 admint bukan promosi tapi efisiensi dengan alam yang jauh lebih simple dan sederhana sering ngebug gopay makanya goto ambles aplikasi dalam negeri harus bisa lebih simple sudah sempat mau pesan tapi kena kendala tombol menu yang gak jelas,0t gop
Jerry h,"kalau ketentuan untuk semua gocar, bisa diterapkan kyk peraturan bluebird,kurang lebih atau bahkan bisa jauh lebih bagus, mulai dari driver nya diseleksi lebih baik, dari ketentuan dan keamanan kaca kendaraan lebih baik, tidak boleh gelap, kebersihan dan keterawatan kendaraan dan sebagainya, sampai saat ini setiap kali pakai gocar masih kadang dapet yang gak worth it dengan harga,amannya dan nyamannya. kalau bisa di setiap perjalanan pakai gocar bisa selalu nyaman, aman & hemat+driver tau jalan",2,"kalau ketentuan untuk semua gocar, bisa diterapkan kyk peraturan bluebird,kurang lebih atau bahkan bisa jauh lebih bagus, mulai dari driver nya diseleksi lebih baik, dari ketentuan dan keamanan kaca kendaraan lebih baik, tidak boleh gelap, kebersihan dan keterawatan kendaraan dan sebagainya, sampai saat ini setiap kali pakai gocar masih kadang dapet yang gak worth it dengan harga,amannya dan nyamannya. kalau bisa di setiap perjalanan pakai gocar bisa selalu nyaman, aman & hemat+driver tau jalan","kalau ketentuan semua gocar, diterapkan kyk peraturan bluebird,kurang lebih bahkan jauh lebih bagus, mulai driver nya diseleksi lebih baik, ketentuan keamanan kaca kendaraan lebih baik, boleh gelap, kebersihan keterawatan kendaraan sebagainya, saat kali pakai gocar kadang dapet gak worth it harga,amannya nyamannya. kalau di setiap perjalanan pakai gocar selalu nyaman, aman & hemat+driver tau jalan",kalau tentu untuk semua gocar bisa terap kyk atur bluebird kurang lebih atau bahkan bisa jauh lebih bagus mulai dari driver nya seleksi lebih baik dari tentu dan aman kaca kendara lebih baik tidak boleh gelap bersih dan awat kendara dan bagai sampai saat ini tiap kali pakai gocar masih kadang dapet yang gak worth it dengan harga aman dan nyaman kalau bisa di tiap jalan pakai gocar bisa selalu nyaman aman hemat driver tau jalan,gocar ky peraturan bluebird gocar gocar
Desy Adela,"pesan gosend sampai 2 jam pertama, pesan sudah dapat driver tapi gak gerak-gerak, dihubungi juga susah kedua, sampai mencoba ganti driver lagi, ternyata sama gak gerak dan susah dihubungi ketiga, sampai dibatalkan beberapa kali gara-gara gak gerak dan susah dihubungi drivernya padahal jaraknya ada yang hanya 1 menit dari posisi si driver ke lokasi ke empat, giliran udah dapat, tetap aja lama sampai ke lokasinya padahal di aplikasi hanya kurang dari 10 menit total 2 jam bisa sampai selesai",1,"pesan gosend sampai 2 jam pertama, pesan sudah dapat driver tapi gak gerak-gerak, dihubungi juga susah kedua, sampai mencoba ganti driver lagi, ternyata sama gak gerak dan susah dihubungi ketiga, sampai dibatalkan beberapa kali gara-gara gak gerak dan susah dihubungi drivernya padahal jaraknya ada yang hanya 1 menit dari posisi si driver ke lokasi ke empat, giliran udah dapat, tetap aja lama sampai ke lokasinya padahal di aplikasi hanya kurang dari 10 menit total 2 jam bisa sampai selesai","pesan gosend 2 jam pertama, pesan dapat driver gak gerak-gerak, dihubungi susah kedua, mencoba ganti driver lagi, ternyata sama gak gerak susah dihubungi ketiga, dibatalkan beberapa kali gara-gara gak gerak susah dihubungi drivernya padahal jaraknya yang 1 menit posisi si driver lokasi empat, giliran udah dapat, tetap aja lama ke lokasinya padahal aplikasi kurang 10 menit total 2 jam sampai selesai",pesan gosend sampai 2 jam pertama pesan sudah dapat driver tapi gak gerak hubung juga susah dua sampai coba ganti driver lagi nyata sama gak gerak dan susah hubung tiga sampai batal beberapa kali gara-gara gak gerak dan susah hubung drivernya padahal jarak ada yang hanya 1 menit dari posisi si driver ke lokasi ke empat gilir udah dapat tetap aja lama sampai ke lokasi padahal di aplikasi hanya kurang dari 10 menit total 2 jam bisa sampai selesai,2 jam pertama kedua ketiga 1 menit empat 10 menit 2 jam
Dewita Nur Wulandari,"pesan makan udh sejam tp gaada driver yang mau ambil, padahal metode pembayaran udah reguler loh. tindak lanjuti lah masalah driver yang suka skip orderan itu. menyebalkan sekali buang buang waktu banget. semuanya lelet dan menyebalkan. masalahnya ini gak sekali dua kali aja terjadi, sesering itu. saya pesan makan di jam 7, baru sampe ke rumah di jam 10an.",1,"pesan makan udh sejam tp gaada driver yang mau ambil, padahal metode pembayaran udah reguler loh. tindak lanjuti lah masalah driver yang suka skip orderan itu. menyebalkan sekali buang buang waktu banget. semuanya lelet dan menyebalkan. masalahnya ini gak sekali dua kali aja terjadi, sesering itu. saya pesan makan di jam 7, baru sampe ke rumah di jam 10an.","pesan makan udh sejam tp gaada driver mau ambil, padahal metode pembayaran udah reguler loh. tindak lanjuti lah masalah driver suka skip orderan itu. menyebalkan sekali buang buang waktu banget. semuanya lelet menyebalkan. masalahnya gak sekali kali aja terjadi, sesering itu. pesan makan jam 7, baru sampe rumah jam 10an.",pesan makan udh jam tp gaada driver yang mau ambil padahal metode bayar udah reguler loh tindak lanjut lah masalah driver yang suka skip order itu sebal sekali buang buang waktu banget semua lelet dan sebal masalah ini gak sekali dua kali aja jadi sering itu saya pesan makan di jam 7 baru sampe ke rumah di jam 10an,dua 7 10
Ridwan Mono,"benar2 membantu. cuma kadang2 apk-nya suka error, padahal pencarian buat memesan sudah di batalkan tapi kadang2 ada driver yang menerima pesanannya dan harus di batalkan pesenannya. saya nggak enak sama drivernya, udah jauh2 mau jemput malahan di batalkan.",5,"benar2 membantu. cuma kadang2 apk-nya suka error, padahal pencarian buat memesan sudah di batalkan tapi kadang2 ada driver yang menerima pesanannya dan harus di batalkan pesenannya. saya nggak enak sama drivernya, udah jauh2 mau jemput malahan di batalkan.","benar2 membantu. cuma kadang2 apk-nya suka error, padahal pencarian buat memesan batalkan kadang2 driver menerima pesanannya harus batalkan pesenannya. nggak enak sama drivernya, udah jauh2 mau jemput malahan di batalkan.",benar2 bantu cuma kadang2 apk-nya suka error padahal cari buat mes sudah di batal tapi kadang2 ada driver yang terima pesan dan harus di batal sen saya nggak enak sama drivernya udah jauh2 mau jemput malah di batal,
Lin Wijaya,"noted: sudah ditanggap cepat sama pihak gojek. terimakasih.. bintang sudah saya perbaiki.. ((setelah upgrade ke jago, saldo hilang entah kemana padahal belum dipake buat transaksi apapun. dan gak ada pemberitahuan ni uang dipindah kemana. komplain di email sama cs nya juga gak ada tanggapan. gimana maksudnya coba?))",5,"noted: sudah ditanggap cepat sama pihak gojek. terimakasih.. bintang sudah saya perbaiki.. ((setelah upgrade ke jago, saldo hilang entah kemana padahal belum dipake buat transaksi apapun. dan gak ada pemberitahuan ni uang dipindah kemana. komplain di email sama cs nya juga gak ada tanggapan. gimana maksudnya coba?))","noted: ditanggap cepat sama pihak gojek. terimakasih.. bintang saya perbaiki.. ((setelah upgrade jago, saldo hilang entah padahal dipake buat transaksi apapun. gak pemberitahuan ni uang dipindah kemana. komplain email sama cs nya gak tanggapan. gimana maksudnya coba?))",noted sudah tanggap cepat sama pihak gojek terimakasih bintang sudah saya baik telah upgrade ke jago saldo hilang entah mana padahal belum dipake buat transaksi apa dan gak ada pemberitahuan ni uang pindah mana komplain di email sama cs nya juga gak ada tanggap gimana maksud coba,gojek jago
fatma dewi,"untuk pemesanan gofood waktunya tambah lama ditambah pesanan yang katanya telat, jadi nunggu 1 jam-an. untuk pesanan kali ini tiba2 resto chat buat ambil pesanan karena sudah siap (sudah dapat driver tiba-tiba cancel) buat apa pesan gofood dengan pilihan pesan antar kalau harus pick up sendiri😮‍💨dan sering juga pesan gofood toko sudah tutup, tiidak ada info. jadi butuh waktu lagi. atau sering juga, menu habis tidak ada info juga.",5,"untuk pemesanan gofood waktunya tambah lama ditambah pesanan yang katanya telat, jadi nunggu 1 jam-an. untuk pesanan kali ini tiba2 resto chat buat ambil pesanan karena sudah siap (sudah dapat driver tiba-tiba cancel) buat apa pesan gofood dengan pilihan pesan antar kalau harus pick up sendiri😮‍💨dan sering juga pesan gofood toko sudah tutup, tiidak ada info. jadi butuh waktu lagi. atau sering juga, menu habis tidak ada info juga.","pemesanan gofood waktunya tambah lama ditambah pesanan katanya telat, jadi nunggu 1 jam-an. pesanan kali tiba2 resto chat buat ambil pesanan siap (sudah driver tiba-tiba cancel) buat apa pesan gofood pilihan pesan antar kalau pick up sendiri😮‍💨dan sering pesan gofood toko sudah tutup, tiidak info. jadi butuh waktu lagi. sering juga, menu habis ada info juga.",untuk mesan gofood waktu tambah lama tambah pesan yang kata telat jadi nunggu 1 jam-an untuk pesan kali ini tiba2 resto chat buat ambil pesan karena sudah siap sudah dapat driver tiba cancel buat apa pesan gofood dengan pilih pesan antar kalau harus pick up sendiri dan sering juga pesan gofood toko sudah tutup tiidak ada info jadi butuh waktu lagi atau sering juga menu habis tidak ada info juga,gofood 1 gofood gofo
Refika Syallomitha Anggraeni,"kecewa berkali2 sama gojek, pesen makan ga dapet dapet driver padahal tempat saya dan makanannya strategis dan tetap berkali kali ngga dapet driver padahal sudah coba pakai mode reguler dan mode cepat tapi tetap ga ada hasil. tolong di tingkatkan lagi lah",1,"kecewa berkali2 sama gojek, pesen makan ga dapet dapet driver padahal tempat saya dan makanannya strategis dan tetap berkali kali ngga dapet driver padahal sudah coba pakai mode reguler dan mode cepat tapi tetap ga ada hasil. tolong di tingkatkan lagi lah","kecewa berkali2 sama gojek, pesen makan ga dapet dapet driver padahal tempat makanannya strategis tetap berkali kali ngga dapet driver padahal coba pakai mode reguler dan mode cepat tetap ga hasil. di tingkatkan lah",kecewa berkali2 sama gojek sen makan ga dapet dapet driver padahal tempat saya dan makan strategis dan tetap kali kali ngga dapet driver padahal sudah coba pakai mode reguler dan mode cepat tapi tetap ga ada hasil tolong di tingkat lagi lah,go pes
Hifdzul Taufiq,aslinya saya puas tapi kadang² waktu penjemputan nya lama banget banyak yang jauh² terus kalo penumpang lupa/barangnya ketinggalan driver di hubungi nggk bisa sama sekali malah susah di hubungi tolong lah lebih tertata lagi dan tolong lebih di pilih² lagi kalau mau nerima drivernya kalo bisa di bina dari gojek dll nya jangan bikin kecewa semua orang.,2,aslinya saya puas tapi kadang² waktu penjemputan nya lama banget banyak yang jauh² terus kalo penumpang lupa/barangnya ketinggalan driver di hubungi nggk bisa sama sekali malah susah di hubungi tolong lah lebih tertata lagi dan tolong lebih di pilih² lagi kalau mau nerima drivernya kalo bisa di bina dari gojek dll nya jangan bikin kecewa semua orang.,aslinya puas kadang² waktu penjemputan nya lama banget banyak jauh² terus kalo penumpang lupa/barangnya ketinggalan driver hubungi nggk sama sekali malah susah hubungi lah lebih tertata dan lebih pilih² kalau mau nerima drivernya kalo di bina gojek nya jangan bikin kecewa semua orang.,asli saya puas tapi kadang waktu jemput nya lama banget banyak yang jauh terus kalo tumpang lupa barang tinggal driver di hubung nggk bisa sama sekali malah susah di hubung tolong lah lebih tata lagi dan tolong lebih di pilih lagi kalau mau nerima drivernya kalo bisa di bina dari gojek dll nya jangan bikin kecewa semua orang,
Achie Dado,"aplikasi sangat membantu, tapi tolonglah itnya perbaiki jarak jemput jangan terlalu jauh!!!!! kasian pelanggan nunggu lama, dan kasian driver juga boros bbm, tadak sesuai pendapatan, dan sering kena cancel. ayu donk diperbaiki, jangan cuma mikirin untung doank, maksimalkan semuanya. agar saling menguntungkan. terimakasih.",5,"aplikasi sangat membantu, tapi tolonglah itnya perbaiki jarak jemput jangan terlalu jauh!!!!! kasian pelanggan nunggu lama, dan kasian driver juga boros bbm, tadak sesuai pendapatan, dan sering kena cancel. ayu donk diperbaiki, jangan cuma mikirin untung doank, maksimalkan semuanya. agar saling menguntungkan. terimakasih.","aplikasi sangat membantu, tolonglah itnya perbaiki jarak jemput jangan terlalu jauh!!!!! kasian pelanggan nunggu lama, kasian driver boros bbm, tadak sesuai pendapatan, sering kena cancel. ayu donk diperbaiki, jangan cuma mikirin untung doank, maksimalkan semuanya. saling menguntungkan. terimakasih.",aplikasi sangat bantu tapi tolong itnya baik jarak jemput jangan terlalu jauh kasi langgan nunggu lama dan kasi driver juga boros bbm tadak sesuai dapat dan sering kena cancel ayu donk baik jangan cuma mikirin untung doank maksimal semua agar saling untung terimakasih,an bbm ayu don miki doa
