user,review,rating
Willem van Heerden,"A couple of annoying bugs have crept in recently, and it's impossible to report these problems. This is unacceptable for such a widely used app. When certain contacts change their numbers, a new chat is started. The old chat indicates that the number has changed, so the app knows there's a connection between the numbers, but won't merge the chats. On the Pixel Watch 3 one can choose to not receive notifications while the phone is open. This works in every app except WhatsApp.",1
Oscar Q,"I was really hoping for a smooth messaging experience, but WhatsApp has been a letdown. The app frequently crashes and the notifications are inconsistent, which makes it frustrating to keep up with conversations. Plus, the user interface can feel cluttered at times. I also have concerns about privacy and data security. Overall, I expected more from such a popular app. Time to look for alternatives",1
Mike Moritz,"Updates always break functionality while adding ""features"" nobody asked for. Updated Feb2025. WA now opens a menu of file types when attaching something. Before you could just pick what you wanted. It doesn't display all my albums when sending pics. Long pressing the ""gallery"" file type opens my photo gallery but it's buggy and slower and doesn't display mp4 or all of my gifs like it did before. I now have to share my files from my gallery app to WA as a work-around. I dread their updates.",1
astroturtle,"FIX THE BUG THAT FORGETS YOUR LOGIN AND FORCES YOU TO RESTORE EVERYTHING. On every device, ""You have been logged out"" without ANY reason. And how is it possible to have WhatsApp set to ""daily"" backups, and then the most recent backup is from over a month ago? A month of messages, images, docs, videos, just gone because your app can't even do a BASIC BACKUP properly. Garbage app. The only reason I keep using this thing is because other people.",1
A Google user,"I noticed that recently after updates, when listening to voice notes, if it's a long voice note the voice note will stop when the screen goes off. Dunno why it's doing this. Before it wasn't like that. Also noticed that missed calls are not shown on screen, but only when you open WA and check you chats you will see the missed call label inside the chat. Please work on a feature that allows you to block Whatsapp video/ calls in general or for a scheduled time.",2
Alexius Emejom,"Very easy-to-use UI. I am not a fan of the latest updates to the Status updates interface that is displayed horizontally. I prefer the original vertical display for the status updates. I wish WhatsApp could revert to that view. Also, maybe the communities could be organized on another tab to free up space for status updates.",4
Imad Nassar,"Excellent app overall but I'd like to point out an option that should be improved . I noticed that when recording a voice message , the sound is not that clear and crisp compared to Facebook messenger . When I record a voice message on messenger , the sound is so clear unlike when it's on WhatsApp . Please improve voice messaging sound quality and thank you.",4
zahra,Love WhatsApp but there is a glitch that is very annoying. When I scroll ust a little bit up it jumps up hours earlier randomly. It happens very often and is confusing and annoying. Please look into this! Also please have a feature to disable or lock the video message feature because when scrolling it gets clicked on accident and is very annoying,2
hu trillz,"Just started using the app and I'd happily give 5 stars if it were solely based on the product's simplicity design, and operating abilities, however I'd like to make 2 (obvious) suggestions. 1. Being a translate feature and perhaps have in settings a setting to set your preferred translating language. Also, on the topic, many prominent websites are offering live video call translating capabilities, might be worth considering. 2. A more clear account/profile accessibility button/page/feature.",4
Denise Martinez,"Fix This Bug: Having issues with accessing the gallery on my phone. App has access, but my albums do not show up in the option to send photos. Can't see all my photo/video albums Currently, when I try to share a picture or video on WhatsApp directly, it doesn't let me see all my folders. Many other users are having the same issue. I have uninstalled and reinstalled the app multiple times.",2
